course_code,course_name,course_hour,team_project_requirement,software_foundations,algorithms,intelligence_big_data,human_social_impact,media,scientific_parallel,distributed_system,machines
407,Cryptography,3 or 4 Hours,,Y,Y,,,,,Y,
409,The Art of Web Programming,3 or 4 Hours,,Y,,,Y,Y,,,
410,Text Information Systems,3 or 4 Hours,,,,Y,,,,,
411,Database Systems,3 or 4 Hours,,,,Y,,,,,
412,Introduction to Data Mining,3 or 4 Hours,,,,Y,,,,,
413,Intro to Combinatorics,3 or 4 Hours,,,Y,,,,,,
414,Multimedia Systems,3 or 4 Hours,,,,Y,,Y,,,
416,Data Visualization,3 or 4 Hours,,,,Y,Y,Y,,,
417,Virtual Reality,3 or 4 Hours,Y,,,,Y,Y,,,
418,Interactive Computer Graphics,3 or 4 Hours,,,,,,Y,,,
419,Production Computer Graphics,3 or 4 Hours,,,,,,Y,Y,,
422,Programming Language Design,3 or 4 Hours,,Y,,,,,,,
423,Operating Systems Design,3 or 4 Hours,,,,,,,,Y,Y
424,Real-Time Systems,3 or 4 Hours,,,,,,,,Y,Y
425,Distributed Systems,3 or 4 Hours,,,,,,,,Y,
426,Compiler Construction,3 or 4 Hours,,Y,,,,,,,Y
427,Software Engineering I,3 or 4 Hours,Y,Y,,,,,,,
428,Software Engineering II,3 or 4 Hours,Y,Y,,,,,,,
429,Software Engineering II  ACP,3 Hours,Y,Y,,,,,,,
431,Embedded Systems,3 or 4 Hours,,,,,,,,Y,Y
433,Computer System Organization,3 or 4 Hours,,,,,,,,,Y
435,Cloud Networking,3 or 4 Hours,,,,,,,Y,Y,
436,Computer Networking Laboratory,3 or 4 Hours,,,,,,,,Y,
437,Topics in Internet of Things,3 or 4 Hours,Y,,,,,,,Y,Y
438,Communication Networks,3 or 4 Hours,,,,,,,,Y,
439,Wireless Networks,3 or 4 Hours,,,,,,,,Y,
440,Artificial Intelligence,3 or 4 Hours,,,,Y,,,,,
441,Applied Machine Learning,3 or 4 Hours,,,,Y,Y,,,,
442,Trustworthy Machine Learning,3 or 4 Hours,,,,Y,Y,,,,
444,Deep Learning for Computer Vision,3 or 4 Hours,,,,Y,,,,,
445,Computational Photography,3 or 4 Hours,,,,Y,,Y,,,
446,Machine Learning,3 or 4 Hours,,,,Y,,,,,
447,Natural Language Processing,3 or 4 Hours,,,,Y,,,,,
448,Audio Computing Laboratory,3 or 4 Hours,,,,Y,,Y,,,
450,Numerical Analysis,3 or 4 Hours,,,,,,,Y,,
457,Numerical Methods II,3 Hours,,,,,,,Y,,
460,Security Laboratory,3 or 4 Hours,,,,,Y,,,Y,
461,Computer Security I,4 Hours,,,,,Y,,,Y,
463,Computer Security II,3 or 4 Hours,,,,,Y,,,Y,
464,Topics in Societal and Ethical Impacts of Computer Technology,3 Hours,,,,Y,Y,,,,
465,User Interface Design,4 Hours,Y,,,,Y,Y,,,
466,Introduction to Bioinformatics,3 or 4 Hours,,,,Y,,,Y,,
467,Social Visualization,3 or 4 Hours,Y,,,Y,Y,Y,,,
468,Tech and Advertising Campaigns,3 Hours,,,,,Y,Y,,,
469,Computational Advertising Infrastructure,3 or 4 Hours,,,,Y,Y,Y,,,
470,Social and Information Networks,3 or 4 Hours,,,,Y,Y,,,,
473,Algorithms,4 Hours,,,Y,,,,,,
474,Logic in Computer Science,3 or 4 Hours,,Y,,,,,,,
475,Formal Models of Computation,3 or 4 Hours,,,Y,,,,,,
476,Program Verification,3 or 4 Hours,,Y,Y,,,,,,
477,Formal Software Development Methods,3 or 4 Hours,,Y,Y,,,,,,
481,Advanced Topics in Stochastic Processes & Applications,3 or 4 Hours,,,Y,,,,,,
482,Simulation,3 or 4 Hours,,,Y,,,,Y,,
483,Applied Parallel Programming,4 Hours,,,,,,,Y,Y,
484,Parallel Programming,3 or 4 Hours,,,,,,,Y,Y,Y
492,Senior Project I,3 Hours,,Y,,,,,,,
493,Senior Project II  ACP,3 Hours,Y,Y,,,,,,,
494,Senior Project II,3 Hours,Y,Y,,,,,,,
497,CS Team Project,1 to 3 Hours,Y,,,,,,,,
500,Current Topics in Computing Education Research,4 Hours,,,,,Y,,,,
510,Advanced Information Retrieval,4 Hours,,,,Y,,,,,
511,Advanced Data Management,4 Hours,,,,Y,,,,,
512,Data Mining Principles,4 Hours,,,,Y,,,,,
514,Advanced Topics in Network Science,4 Hours,,,,Y,Y,,,,
519,Scientific Visualization,4 Hours,,,,,,Y,Y,,
521,Advanced Topics in Programming Systems,4 Hours,,Y,,,,,,,
522,Programming Language Semantics,4 Hours,,Y,,,,,,,
523,Advanced Operating Systems,4 Hours,,,,,,,,Y,Y
524,Concurrent Progrmg Languages,4 Hours,,Y,,,,,,Y,
525,Advanced Distributed Systems,4 Hours,,,,,,,,Y,
526,Advanced Compiler Construction,4 Hours,,Y,,,,,,,Y
527,Topics in Software Engineering,4 Hours,,Y,,,,,,,
528,Obj-Oriented Progrmg & Design,4 Hours,,Y,,,,,,,
533,Parallel Computer Architecture,4 Hours,,,,,,,,,Y
534,Advanced Topics in Computer Architecture,4 Hours,,,,,,,,,Y
536,Fault-Tolerant Dig Syst Design,4 Hours,,,,,,,,,Y
537,Advanced Topics in Internet of Things (IoT),4 Hours,,,,,,,,Y,
538,Advanced Computer Networks,4 Hours,,,,,,,,Y,
540,Deep Learning Theory,4 Hours,,,,Y,,,,,
541,Computer Systems Analysis,4 Hours,,,,,,,,,Y
542,Statistical Reinforcement Learning,4 Hours,,,,Y,,,,,
544,Optimiz in Computer Vision,4 Hours,,,,Y,,,,,
545,Machine Learning for Signal Processing,4 Hours,,,,Y,,Y,,,
546,Advanced Topics in Natural Language Processing,4 Hours,,,,Y,,,,,
548,Models of Cognitive Processes,4 Hours,,,,Y,,,,,
554,Parallel Numerical Algorithms,4 Hours,,,,,,,Y,,
555,Numerical Methods for PDEs,4 Hours,,,,,,,Y,,
556,Iterative & Multigrid Methods,4 Hours,,,,,,,Y,,
558,Topics in Numerical Analysis,4 Hours,,,,,,,Y,,
562,Advanced Topics in Security  Privacy  and Machine Learning,4 Hours,,,,Y,Y,,,Y,
563,Advanced Computer Security,4 Hours,,,,,Y,,,Y,
565,Human-Computer Interaction,4 Hours,,,,,Y,Y,,,
567,Social Signals and Social Media,4 Hours,,,,Y,Y,Y,,,
571,Combinatorial Mathematics,4 Hours,,,Y,,,,,,
572,Extremal Graph Theory,4 Hours,,,Y,,,,,,
573,Algorithms,4 Hours,,,Y,,,,,,
574,Randomized Algorithms,4 Hours,,,Y,,,,,,
575,Methods of Combinatorics,4 Hours,,,Y,,,,,,
576,Topics in Automated Deduction,2 to 4 Hours,,Y,Y,Y,,,,,
579,Computational Complexity,4 Hours,,,Y,,,,,,
580,Topics in Algorithmic Game Theory,4 Hours,,,Y,,,,,,
581,Algorithmic Genomic Biology,4 Hours,,,Y,,,,,,
582,Machine Learning for Bioinformatics,4 Hours,,,,Y,,,,,
583,Approximation Algorithms,4 Hours,,,Y,,,,,,
584,Embedded System Verification,4 Hours,,,Y,,,,,,Y
586,Combinatorial Optimization,4 Hours,,,Y,,,,,,
588,Autonomous Vehicle System Engineering,4 Hours,,,,,,,,,Y
